10	1	1000
6	-1	学习力+经验
133	-270	
-382	-313	
148	-233	
-224	-210	
259	-16	
14	-105	
7	-175	
-44	-203	
209	-22	
-23	-109	
-6	-181	
89	-203	
225	-17	
16	-120	
4	-173	
301	-195	
228	-21	
201	-20	
18	-116	
11	-170	
-221	-201	
-281	-35	
-214	-26	
-9	-114	
-4	-189	
-39	-203	
-228	-24	
-397	-19	
2	-110	
17	-181	
129	-202	
-219	-16	
-426	-7	
-16	-119	
-11	-177	
265	-208	
-258	-39	
-258	-39	
-259	-38	
-432	-23	
-243	-34	
-2	-115	
6	-177	
-107	-74	
-2	-173	
34	-82	
17	-175	
168	-74	
4	-175	
320	-78	
5	-177	
-430	-247	
-17	-180	
406	-474	
-112	-254	
-212	-196	
-224	-32	
5	-120	
5	-187	
-35	-207	
-224	-14	
-18	-112	
3	-171	
119	-202	
-234	-21	
-236	-23	
-3	-105	
5	-182	
264	-209	
-257	-25	
-253	-28	
-2	-111	
5	-176	
-192	-202	
-248	-26	
-410	-19	
11	-117	
-1	-170	
-56	-207	
-241	-25	
-243	-53	
8	-97	
9	-181	
99	-196	
-237	-29	
-425	-40	
-247	-26	
-424	-25	
7	-111	
15	-193	
281	-200	
-413	-19	
-411	-10	
220	-26	
13	-102	
7	-168	
-113	-84	
0	-181	
38	-89	
17	-171	
171	-83	
22	-169	
314	-83	
17	-172	
412	-471	
310	-422	
