10	1	1000
-2	-3	进入三主宠究极进化
-387	-256	
-236	-326	
67	-264	
143	-93	
140	-273	源生之火
-164	-76	
439	-344	
-21	-189	
16	-187	
197	-109	
-98	-37	
-245	-20	
-426	-24	
-426	-15	
12	-126	
11	-183	
443	-336	
-63	-184	
-10	-181	
457	-502	
219	-551	
417	-468	
144	-547	
140	-273	源生之火
-164	-76	
439	-344	
-21	-189	
16	-187	
197	-109	
-98	-37	
-245	-20	
-426	-24	
-426	-15	
12	-126	
11	-183	
443	-336	
-63	-184	
-10	-181	
457	-502	
219	-551	
417	-468	
144	-547	
140	-273	源生之火
-164	-76	
439	-344	
-21	-189	
16	-187	
197	-109	
-98	-37	
-245	-20	
-426	-24	
-426	-15	
12	-126	
11	-183	
443	-336	
-63	-184	
-10	-181	
457	-502	
219	-551	
417	-468	
144	-547	
140	-273	源生之火
-164	-76	
439	-344	
-21	-189	
16	-187	
197	-109	
-98	-37	
-245	-20	
-426	-24	
-426	-15	
12	-126	
11	-183	
443	-336	
-63	-184	
-10	-181	
457	-502	
219	-551	
417	-468	
144	-547	
140	-273	源生之火
-164	-76	
439	-344	
-21	-189	
16	-187	
197	-109	
-98	-37	
-245	-20	
-426	-24	
-426	-15	
12	-126	
11	-183	
443	-336	
-63	-184	
-10	-181	
457	-502	
219	-551	
417	-468	
144	-547	
140	-273	源生之火
-164	-76	
439	-344	
-21	-189	
16	-187	
197	-109	
-98	-37	
-245	-20	
-426	-24	
-426	-15	
12	-126	
11	-183	
443	-336	
-63	-184	
-10	-181	
457	-502	
219	-551	
417	-468	
144	-547	
132	-251	熔岩之晶
17	-77	
-18	-87	
434	-342	
-61	-175	
2	-186	
-298	-276	
-90	-32	
-259	-29	
-440	-30	
10	-110	
436	-337	
-73	-179	
-17	-187	
-244	-96	
-81	-28	
-243	-37	
-424	-16	
-424	-22	
-18	-129	
451	-336	
440	-337	
-33	-184	
2	-190	
336	-272	
-98	-33	
-232	-33	
-423	-14	
-406	-8	
-2	-116	
1	-95	
-65	-183	
2	-178	
424	-355	
-44	-176	
4	-189	
455	-498	
108	-553	
436	-468	
132	-251	熔岩之晶
17	-77	
-18	-87	
434	-342	
-61	-175	
2	-186	
-298	-276	
-90	-32	
-259	-29	
-440	-30	
10	-110	
436	-337	
-73	-179	
-17	-187	
-244	-96	
-81	-28	
-243	-37	
-424	-16	
-424	-22	
-18	-129	
451	-336	
440	-337	
-33	-184	
2	-190	
336	-272	
-98	-33	
-232	-33	
-423	-14	
-406	-8	
-2	-116	
1	-95	
-65	-183	
2	-178	
424	-355	
-44	-176	
4	-189	
455	-498	
108	-553	
436	-468	
